descrip;IDEN;kg/árbol;n° frutos/árbol
H10 A23;8;43,7;321
H11 A54;9;50,9;401
H23 A17;0;9,2;107
H29 A37;10;null;null
H3 A4;1;49,1;474
H30 A18;11;10;139
H34 A11;13;38;396
H35 A39;14;44;459
H4 A 21;4;63,6;364
H4 A10;2;50,3;442
H4 A14;3;2,4;39
H56 A32;17;64;370
H56 A46;16;35;312
H57 A19;18;90;759
H58 A8;19;18;134
H61 A13;21;40;418
H61 A16;20;101;884
H62 A31;22;82;760
H64 A43;23;72;476
H67 A11;26;52;335
H69 A45;27;40;424
H7 A31;5;80,1;820
H7 A4;6;74,4;741
H70 A11;28;53;482
H8 A14;7;56,8;435
