id;descrip;x;y
1;H03A04;318912,008;6168242
2;H04A10;318925,819;6168230
3;H04A14;318935,932;6168224
4;H04A21;318955,215;6168215
5;H07A04;318904,063;6168226
6;H07A31;318974,378;6168188
7;H08A14;318928,432;6168209
8;H10A23;318947,782;6168188
9;H11A54;319027,975;6168141
10;H12A67;319060,6;6168117,7
11;H17A66;319047,1;6168100,7
12;H20A58;319019,6;6168099,9
13;H23A17;318908,126;6168143
14;H28A61;319011;6168063,7
15;H29A05;318863;6168136
16;H29A37;318949,512;6168092
17;H30A18;318899,231;6168117
18;H31A12;318874,38;6168199,53
19;H34A11;318866,423;6168109
20;H35A39;318943,628;6168063
21;H52A42;318933,3;6167983,5
22;H53A56;318952,2;6167968,9
23;H53A63;318967,06;6167960
24;H57A19;318840,77;6168007
25;H58A08;318809,647;6168017
26;H61A13;318814,606;6168000
27;H61A16;318823,495;6167995
28;H62A31;318861,8;6167970
29;H69A45;318882,053;6167919
30;H70A11;318790,054;6167961
